route_id,stop_id
1270,temp_23
1270,temp_31
1270,temp_33
1270,temp_37
1272,temp_199
1272,temp_200
1272,temp_219
1272,temp_225
1272,temp_236
1272,temp_252
1272,temp_253
1273,temp_268
1273,temp_269
1273,temp_271
1274,temp_31
1274,temp_236
1282,temp_3564
1286,temp_686
1286,temp_687
1286,temp_688
1286,temp_689
1286,temp_690
1286,temp_709
1286,temp_710
1295,temp_934
1308,temp_934
1311,temp_1063
1311,temp_1064
1317,temp_1157
1320,temp_1157
1324,temp_1185
1329,temp_1272
1329,temp_1273
1334,temp_1273
1337,temp_1375
1338,temp_252
1338,temp_1419
1338,temp_1424
1338,temp_1425
1338,temp_1426
1345,temp_252
1345,temp_1419
1345,temp_1539
1345,temp_1540
1345,temp_1424
1345,temp_1425
1345,temp_1426
1346,temp_1553
1346,temp_1554
1347,temp_1554
1348,temp_1569
1348,temp_1237
1348,temp_1579
1349,temp_1610
1349,temp_1540
1349,temp_1612
1350,temp_1610
1350,temp_1540
1350,temp_1612
1354,temp_1715
1357,temp_252
1358,temp_252
1364,temp_1831
1364,temp_1610
1364,temp_1426
1365,temp_31
1365,temp_236
1366,temp_1876
1369,temp_8624
1369,temp_8626
1390,temp_2251
1390,temp_2262
1392,temp_2309
1392,temp_2313
1392,temp_2316
1392,temp_2317
1395,temp_1146
1397,temp_2356
1397,temp_2357
1397,temp_2360
1399,temp_2378
1399,temp_2357
1399,temp_2360
1401,temp_2384
1401,temp_2385
1401,temp_2317
1405,temp_2408
1406,temp_2414
1406,temp_2425
1407,temp_2425
1407,temp_2526
1412,temp_2832
1412,temp_2817
1413,temp_2677
1413,temp_2678
1413,temp_2680
1420,temp_2251
1420,temp_2749
1420,temp_2756
1421,temp_2776
1421,temp_2779
1422,temp_2817
1422,temp_2818
1422,temp_2837
1422,temp_2844
1427,temp_2892
1427,temp_2894
1431,temp_2951
1432,temp_2951
1435,temp_3032
1436,temp_3032
1437,temp_2951
1439,temp_2951
1442,temp_2262
1443,temp_3100
1443,temp_3101
1443,temp_3102
1467,temp_2425
1468,temp_3564
1472,temp_3331
1479,temp_3440
1484,temp_3484
1488,temp_3514
1488,temp_3533
1488,temp_3536
1488,temp_3546
1488,temp_3551
1488,temp_3564
1488,temp_3574
1489,temp_3588
1489,temp_3589
1492,temp_3616
1493,temp_3564
1493,temp_2414
1494,temp_1157
1497,temp_3589
1498,temp_3589
1503,temp_1375
1506,temp_3646
1508,temp_1375
1509,temp_1157
1513,temp_236
1515,temp_3690
1520,temp_271
1520,temp_269
1520,temp_268
1523,temp_3935
1528,temp_710
1528,temp_709
1528,temp_709
1528,temp_690
1528,temp_689
1528,temp_688
1528,temp_687
1528,temp_686
1538,temp_934
1545,temp_934
1548,temp_3721
1548,temp_934
1552,temp_1157
1553,temp_1569
1553,temp_1157
1556,temp_3728
1558,temp_1185
1559,temp_4008
1561,temp_1237
1568,temp_1304
1568,temp_1579
1568,temp_3739
1572,temp_1375
1573,temp_1610
1573,temp_1424
1573,temp_1425
1573,temp_1540
1573,temp_1539
1573,temp_1419
1578,temp_1273
1580,temp_1425
1580,temp_1424
1580,temp_1540
1580,temp_1539
1580,temp_1419
1580,temp_1426
1582,temp_1304
1582,temp_1579
1582,temp_3739
1582,temp_1569
1582,temp_1562
1583,temp_1612
1583,temp_1610
1584,temp_1612
1584,temp_1540
1584,temp_1610
1587,temp_1715
1590,temp_31
1590,temp_1426
1597,temp_1610
1597,temp_1426
1598,temp_252
1599,temp_1876
1618,temp_2262
1618,temp_3816
1623,temp_2360
1623,temp_2357
1623,temp_2357
1625,temp_2360
1625,temp_2357
1625,temp_2378
1630,temp_3834
1630,temp_3836
1631,temp_3834
1631,temp_3836
1632,temp_3834
1632,temp_3836
1634,temp_2749
1635,temp_2776
1635,temp_2817
1636,temp_2680
1636,temp_2678
1636,temp_3852
1636,temp_3856
1641,temp_2756
1641,temp_2749
1641,temp_3863
1642,temp_3866
1644,temp_2844
1644,temp_2837
1644,temp_2832
