route_id,stop_id
2184,temp_3309
2077,2651
1550,temp_682
2076,3639
2039,temp_8427
1606,1307
1397,temp_1884
1602,2479
1304,temp_63
1636,temp_2665
1638,temp_2665
1702,temp_2665
1703,temp_2665
1704,temp_2665
1705,temp_2665
1723,temp_2665
1520,1579
1795,temp_8365
2027,temp_8365
2155,temp_9195
1471,temp_3309
1273,1794
1445,temp_2940
1961,temp_4793
1638,temp_2666
1702,temp_2666
1704,temp_2666
1670,temp_1860
1671,temp_1860
1703,temp_2666
1735,temp_3396
1867,temp_103
1874,temp_103
1415,temp_2666
1417,temp_2666
1383,3848
1596,temp_366
1329,temp_773
1334,temp_773
1339,temp_773
1496,temp_773
1696,temp_773
1526,temp_837
1527,temp_837
1542,temp_837
1834,temp_837
2182,2951
1760,364
2152,1534
1707,temp_2665
1805,temp_837
1902,2383
1967,2383
2144,2383
1480,temp_2665
2087,temp_9127
1894,temp_829
1616,temp_2117
2087,temp_2117
2088,temp_2117
2113,temp_2117
1431,temp_300
1437,temp_300
1389,temp_2214
1411,temp_2214
1856,1688
1389,temp_2117
1411,temp_2117
1340,1452
1518,temp_837
1409,3316
2150,temp_837
1432,temp_300
1439,temp_300
1616,temp_2214
2087,temp_6234
2088,temp_6234
2113,temp_6234
2128,temp_6234
2089,temp_6234
1775,temp_6855
1778,temp_6855
1912,temp_6855
1687,temp_3393
1826,temp_837
1535,temp_848
1858,2651
1967,temp_837
