1270,10404.236509273664,8769060.622107754,8770731.2755416,1685.831716917961,7,temp_23,8766832.877701217
1270,59685.14999656935,8774386.785344463,8774150.057884702,294.01847602356435,17,temp_31,8766832.877701217
1270,14164.572395530111,8776745.541869981,8777794.26321542,1239.3271971009203,21,temp_33,8766832.877701217
1270,7547.442566166749,8778789.256269317,8780613.420329351,2326.5367735705563,28,temp_37,8766832.877701217
1272,nan,0.0,0.0,0.0,1,temp_199,8766832.877701217
1272,1.0,0.0,8769140.623911334,8769140.623911334,2,temp_200,8766832.877701217
1272,19236.51618126741,8775774.63302041,8776561.544975108,912.4488037541876,25,temp_219,8766832.877701217
1272,27632.368485530475,8775676.71735854,8775477.442829581,635.1664776538674,33,temp_225,8766832.877701217
1272,16689.76293140545,8774842.249023197,8775468.24867239,1051.5614014307434,46,temp_236,8766832.877701217
1272,1.0,8775245.57297535,0.0,8775245.57297535,63,temp_252,8766832.877701217
1272,1.0,0.0,8775134.8724089,8775134.8724089,64,temp_253,8766832.877701217
1273,1.0,8774094.885162221,0.0,8774094.885162221,20,temp_268,8766832.877701217
1273,1.0,0.0,8774307.692149246,8774307.692149246,21,temp_269,8766832.877701217
1273,16651.324552033024,8774307.692149246,8773399.140938409,1053.8324911182629,23,temp_271,8766832.877701217
1274,59685.14999656935,8774386.785344463,8774150.057884702,294.01847602356435,36,temp_31,8766832.877701217
1274,27393.04295505409,8775703.696923295,8775468.24867239,640.7164028616049,59,temp_236,8766832.877701217
1282,17049.56534974605,8760891.286165707,8760434.548602754,1027.669942039281,42,temp_3564,8766832.877701217
1286,1.0,8765753.422688188,0.0,8765753.422688188,5,temp_686,8766832.877701217
1286,nan,0.0,0.0,0.0,6,temp_687,8766832.877701217
1286,nan,0.0,0.0,0.0,7,temp_688,8766832.877701217
1286,nan,0.0,0.0,0.0,8,temp_689,8766832.877701217
1286,1.0,0.0,8766415.88351444,8766415.88351444,9,temp_690,8766832.877701217
1286,1.0,8763351.01372633,0.0,8763351.01372633,35,temp_709,8766832.877701217
1286,1.0,0.0,8756739.298306877,8756739.298306877,36,temp_710,8766832.877701217
1295,8165.139693214609,8759726.950848293,8757593.00489873,2145.379088897188,29,temp_934,8766832.877701217
1308,4140.125553968454,8759647.847080639,8755504.073173579,4230.584723080519,45,temp_934,8766832.877701217
1311,1.0,8764365.774212569,0.0,8764365.774212569,6,temp_1063,8766832.877701217
1311,1.0,0.0,8764013.405501338,8764013.405501338,7,temp_1064,8766832.877701217
1317,55598.49100255029,8769968.254796494,8770281.1340701,315.4806735323451,9,temp_1157,8766832.877701217
1320,21299.135442468872,8769968.254796494,8770762.454649577,823.5419112116249,25,temp_1157,8766832.877701217
1324,15851.305265188417,8763179.920061072,8762150.589493569,1105.6080377205658,7,temp_1185,8766832.877701217
1329,1.0,8766405.517153632,0.0,8766405.517153632,39,temp_1272,8766832.877701217
1329,1.0,0.0,8766598.727889633,8766598.727889633,40,temp_1273,8766832.877701217
1334,18287.656906191085,8766226.932027183,8766598.727889633,958.7245512015961,19,temp_1273,8766832.877701217
1337,16878.21555507167,8766306.382308409,8767104.55926264,1038.818996259501,4,temp_1375,8766832.877701217
