route_id,stop_id_1,stop_id_2
1541,temp_74,temp_72
1476,641,temp_3397
1482,641,temp_3397
1515,641,temp_3397
1642,641,temp_3397
1644,641,temp_3397
2184,temp_6203,1490
569,3714,3765
1885,1165,temp_6915
1891,1165,temp_6915
1893,1165,temp_6915
1903,1165,temp_6915
